index	seconds	temperature	temperature_2	beleuchtungsstaerke
123	12.2	56.9392531	134.0627316	0.96849
124	12.3	56.74177429	133.9614753	0.96747
125	12.4	56.74177429	134.0627316	0.96645
126	12.5	56.84051584	133.7589949	0.96696
127	12.6	56.84051584	134.5691746	0.96696
128	12.7	56.84051584	134.1639986	0.96798
129	12.8	56.84051584	134.0627316	0.96747
130	12.9	56.9392531	134.0627316	0.96645
131	13	56.9392531	134.5691746	0.96594
132	13.1	56.9392531	134.1639986	0.96441
133	13.2	56.84051584	134.0627316	0.9639
134	13.3	56.84051584	134.0627316	0.96543
135	13.4	56.9392531	134.0627316	0.96543
136	13.5	56.9392531	134.0627316	0.96696
137	13.6	56.9392531	134.0627316	0.96696
138	13.7	56.84051584	133.9614753	0.96696
139	13.8	56.9392531	134.1639986	0.96696
140	13.9	56.9392531	133.9614753	0.96594
141	14	56.9392531	133.9614753	0.96594
142	14.1	56.84051584	134.1639986	0.96696
143	14.2	56.84051584	134.1639986	0.96747
144	14.3	56.84051584	134.1639986	0.96696
145	14.4	56.84051584	134.2652764	0.96645
146	14.5	56.84051584	134.2652764	0.96492
147	14.6	56.9392531	134.1639986	0.96492
148	14.7	56.74177429	134.2652764	0.96594
149	14.8	56.74177429	134.2652764	0.96441
150	14.9	56.84051584	134.2652764	0.96441
151	15	56.84051584	134.4678644	0.9639
152	15.1	56.84051584	134.4678644	0.96492
153	15.2	56.74177429	134.3846121	0.96594
154	15.3	56.84051584	134.1820419	0.96696
155	15.4	56.74177429	134.2833216	0.96543
156	15.5	56.84051584	134.1820419	0.9639
157	15.6	56.84051584	134.1820419	0.96441
158	15.7	56.64302844	134.1820419	0.96441
159	15.8	56.84051584	134.0807729	0.96441
160	15.9	56.84051584	134.0807729	0.96492
161	16	56.84051584	134.2833216	0.96543
162	16.1	56.74177429	134.2833216	0.9639
163	16.2	56.74177429	134.366565	0.96288
164	16.3	56.84051584	134.4678644	0.96441
165	16.4	56.9392531	134.366565	0.96339
166	16.5	56.74177429	134.4678644	0.96135
167	16.6	56.74177429	134.366565	0.96135
168	16.7	56.84051584	134.2652764	0.96135
169	16.8	56.84051584	134.2652764	0.96135
170	16.9	56.74177429	134.2652764	0.96288
171	17	56.84051584	134.2652764	0.9639
172	17.1	56.9392531	134.0627316	0.96339
173	17.2	56.84051584	134.0627316	0.96186
174	17.3	56.84051584	134.2652764	0.96186
175	17.4	56.9392531	134.1639986	0.96186
176	17.5	56.84051584	134.1639986	0.96237
177	17.6	56.84051584	133.9614753	0.96339
178	17.7	56.9392531	133.7589949	0.9639
179	17.8	56.84051584	134.5691746	0.96237
180	17.9	56.74177429	134.1639986	0.96135
181	18	56.84051584	134.1639986	0.96186
182	18.1	56.84051584	133.8602297	0.96288
183	18.2	56.74177429	134.366565	0.96288
184	18.3	56.84051584	134.366565	0.9639
185	18.4	56.84051584	134.0627316	0.96543
186	18.5	56.84051584	133.9614753	0.96645
187	18.6	56.84051584	133.9614753	0.96645
188	18.7	56.9392531	134.0627316	0.96645
189	18.8	56.74177429	133.9614753	0.96747
190	18.9	56.84051584	134.0627316	0.96594
191	19	56.84051584	134.0627316	0.96543
192	19.1	56.84051584	134.0627316	0.96441
193	19.2	56.84051584	133.6577707	0.96543
194	19.3	56.84051584	133.6577707	0.96747
195	19.4	56.9392531	133.6577707	0.96594
196	19.5	56.9392531	133.6577707	0.96543
197	19.6	56.84051584	133.6577707	0.96696
198	19.7	56.84051584	133.5565573	0.96645
199	19.8	56.9392531	133.5565573	0.96594
200	19.9	56.84051584	133.4553544	0.96543
201	20	56.84051584	133.4553544	0.96543
202	20.1	56.84051584	133.5565573	0.96441
203	20.2	56.84051584	133.4553544	0.9639
204	20.3	56.74177429	133.3541623	0.96441
205	20.4	56.9392531	133.3541623	0.96543
206	20.5	56.9392531	133.3541623	0.96594
207	20.6	56.9392531	133.6577707	0.96645
208	20.7	56.9392531	133.0506493	0.96696
209	20.8	56.9392531	133.2529807	0.96696
210	20.9	56.84051584	133.2529807	0.96543
211	21	56.74177429	133.3541623	0.96492
212	21.1	56.84051584	133.4553544	0.96543
213	21.2	56.74177429	133.3541623	0.96492
214	21.3	56.84051584	133.2529807	0.96441
215	21.4	56.84051584	133.4553544	0.96492
216	21.5	56.84051584	133.1518097	0.96492
217	21.6	56.84051584	133.1518097	0.96645
218	21.7	56.9392531	133.3541623	0.96798
219	21.8	56.84051584	133.4553544	0.96849
220	21.9	56.74177429	133.4553544	0.96696
221	22	56.9392531	133.3541623	0.96594
222	22.1	56.84051584	133.2529807	0.96492
223	22.2	56.84051584	133.2529807	0.96543
224	22.3	56.84051584	133.2529807	0.96594
225	22.4	56.84051584	133.4553544	0.96696
226	22.5	56.84051584	133.3541623	0.96747
227	22.6	56.9392531	133.3541623	0.96747
228	22.7	56.9392531	133.5565573	0.96798
229	22.8	56.74177429	133.5565573	0.96951
230	22.9	56.84051584	133.3541623	0.96798
231	23	56.84051584	134.0627316	0.96798
232	23.1	56.9392531	133.4553544	0.96747
233	23.2	56.84051584	133.3541623	0.96696
234	23.3	56.84051584	133.0506493	0.96696
235	23.4	56.74177429	133.8602297	0.96645
236	23.5	56.84051584	133.4553544	0.96543
237	23.6	56.9392531	133.3541623	0.96594
238	23.7	56.9392531	133.3541623	0.96543
239	23.8	56.9392531	133.3541623	0.96543
240	23.9	56.9392531	133.4553544	0.96645
241	24	56.9392531	133.4553544	0.96543
242	24.1	56.9392531	133.5565573	0.9639
243	24.2	56.9392531	133.5565573	0.96543
244	24.3	56.84051584	133.4553544	0.96696
245	24.4	56.84051584	133.3541623	0.96594
246	24.5	56.84051584	133.3541623	0.96543
247	24.6	57.03798611	133.3541623	0.96492
248	24.7	56.9392531	133.3541623	0.96594
249	24.8	56.84051584	133.3541623	0.96543
250	24.9	56.84051584	133.2529807	0.9639
251	25	56.84051584	133.2529807	0.9639
252	25.1	56.9392531	133.2529807	0.96492
253	25.2	56.84051584	133.3541623	0.96543
254	25.3	56.74177429	133.3541623	0.96594
255	25.4	56.9392531	133.7589949	0.96594
256	25.5	56.9392531	133.2529807	0.96492
257	25.6	56.84051584	133.3541623	0.96339
258	25.7	56.9392531	133.3541623	0.96237
259	25.8	56.84051584	133.5565573	0.96237
260	25.9	56.84051584	133.5565573	0.96339
261	26	56.84051584	133.5565573	0.96288
262	26.1	56.84051584	133.4553544	0.96084
263	26.2	56.84051584	133.5565573	0.95982
264	26.3	56.74177429	133.5565573	0.96084
265	26.4	56.9392531	133.6577707	0.96186
266	26.5	56.9392531	133.5565573	0.96084
267	26.6	56.84051584	133.4553544	0.96084
268	26.7	56.84051584	133.4553544	0.96084
269	26.8	56.84051584	133.4553544	0.96186
270	26.9	56.84051584	133.6577707	0.96186
271	27	56.84051584	133.6577707	0.96288
272	27.1	56.84051584	133.5565573	0.96237
273	27.2	56.9392531	133.4553544	0.96135
274	27.3	56.84051584	133.5565573	0.96237
275	27.4	56.74177429	133.5565573	0.96237
276	27.5	56.84051584	133.4553544	0.96339
277	27.6	56.9392531	133.4553544	0.96186
278	27.7	56.74177429	133.5565573	0.96084
279	27.8	56.84051584	133.4553544	0.95931
280	27.9	56.84051584	133.5565573	0.95931
281	28	56.84051584	133.4553544	0.96033
282	28.1	56.9392531	133.4553544	0.96084
283	28.2	56.9392531	133.7589949	0.95982
284	28.3	56.9392531	133.4553544	0.95931
285	28.4	56.9392531	133.4553544	0.95931
286	28.5	56.9392531	133.3541623	0.95982
287	28.6	56.84051584	133.9614753	0.96084
288	28.7	56.9392531	133.5565573	0.96135
289	28.8	56.74177429	133.5565573	0.96084
290	28.9	56.9392531	133.5565573	0.96237
291	29	56.84051584	133.5565573	0.96237
292	29.1	56.74177429	133.5565573	0.96186
293	29.2	56.9392531	133.6577707	0.96339
294	29.3	56.9392531	133.6577707	0.96288
295	29.4	56.84051584	133.6577707	0.96186
296	29.5	56.84051584	133.6577707	0.96237
297	29.6	56.84051584	133.6577707	0.96288
298	29.7	56.84051584	133.6577707	0.96288
299	29.8	56.84051584	133.6577707	0.9639
300	29.9	56.9392531	133.6577707	0.96288
301	30	56.74177429	133.9614753	0.96237
302	30.1	56.74177429	133.7589949	0.96237
303	30.2	56.9392531	133.7589949	0.96186
304	30.3	56.74177429	133.7589949	0.96186
305	30.4	56.74177429	133.8602297	0.96237
306	30.5	56.99242058	133.7589949	0.96339
307	30.6	56.89368561	133.6577707	0.9639
308	30.7	56.89368561	133.5565573	0.96288
309	30.8	56.79494637	133.6577707	0.96288
310	30.9	56.99242058	133.5565573	0.96339
311	31	56.89368561	133.3541623	0.96186
