index	seconds	temperature	temperature_2	beleuchtungsstaerke
1	0	50.34288517	104.2791088	0.86853	
2	0.1	50.4419448	104.4769463	0.86751	
3	0.2	50.4419448	104.4769463	0.86904	
4	0.3	50.34288517	104.4769463	0.86802	
5	0.4	50.34288517	104.4769463	0.86904	
6	0.5	50.4419448	104.4769463	0.86955	
7	0.6	50.5409989	104.4769463	0.86802	
8	0.7	50.5409989	104.378025	0.86802	
9	0.8	50.39507144	104.378025	0.86802	
10	0.9	50.39507144	104.4769463	0.867	
11	1	50.49412815	104.4769463	0.867	
12	1.1	50.49412815	104.4769463	0.86853	
13	1.2	50.49412815	104.4769463	0.86802	
14	1.3	50.39507144	104.4769463	0.86649	
15	1.4	50.49412815	104.6748041	0.86598	
16	1.5	50.49412815	104.4769463	0.86649	
17	1.6	50.49412815	104.4769463	0.86547	
18	1.7	50.49412815	104.4769463	0.8619	
19	1.8	50.34288517	104.4769463	0.86394	
20	1.9	50.34288517	104.378025	0.86445	
21	2	50.34288517	104.5758727	0.86751	
22	2.1	50.5409989	104.2791088	0.8721	
23	2.2	50.4419448	104.1801975	0.87057	
24	2.3	50.34288517	104.2791088	0.86802	
25	2.4	50.34288517	104.2791088	0.86598	
26	2.5	50.4419448	104.378025	0.867	
27	2.6	50.34288517	104.378025	0.86751	
28	2.7	50.34288517	104.0000102	0.86751	
29	2.8	50.34288517	104.0000102	0.86802	
30	2.9	50.4419448	104.3956489	0.86751	
31	3	50.34288517	104.0000102	0.86649	
32	3.1	50.5409989	103.8022207	0.867	
33	3.2	50.4419448	104.6924306	0.86649	
34	3.3	50.5409989	104.1978195	0.86853	
35	3.4	50.24381999	104.2967317	0.86955	
36	3.5	50.34288517	103.901113	0.87159	
37	3.6	50.34288517	104.791368	0.87108	
38	3.7	50.34288517	104.791368	0.8721	
39	3.8	50.4419448	104.5758727	0.87159	
40	3.9	50.4419448	104.378025	0.87108	
41	4	50.4419448	104.4769463	0.87108	
42	4.1	50.34288517	104.5758727	0.87108	
43	4.2	50.4419448	104.378025	0.87108	
44	4.3	50.5409989	104.6748041	0.8721	
45	4.4	50.4419448	104.7737405	0.87261	
46	4.5	50.34288517	104.5758727	0.87261	
47	4.6	50.4419448	104.5758727	0.87261	
48	4.7	50.34288517	104.6748041	0.87108	
49	4.8	50.34288517	104.6748041	0.87159	
50	4.9	50.34288517	104.3956489	0.87006	
51	5	50.34288517	104.6924306	0.87108	
52	5.1	50.4419448	104.494571	0.87057	
53	5.2	50.4419448	104.2967317	0.87006	
54	5.3	50.4419448	104.2967317	0.87057	
55	5.4	50.4419448	104.2967317	0.87057	
56	5.5	50.4419448	104.494571	0.86853	
57	5.6	50.4419448	104.2967317	0.86751	
58	5.7	50.4419448	104.3956489	0.86904	
59	5.8	50.4419448	104.3956489	0.86853	
60	5.9	50.4419448	104.8726821	0.86853	
61	6	50.4419448	104.9716288	0.86955	
62	6.1	50.49412815	104.5758727	0.86853	
63	6.2	50.39507144	104.8726821	0.86955	
64	6.3	50.49412815	104.6748041	0.86955	
65	6.4	50.59317935	104.7737405	0.86904	
66	6.5	50.49412815	104.6748041	0.86904	
67	6.6	50.49412815	104.5758727	0.87006	
68	6.7	50.39507144	104.378025	0.87006	
69	6.8	50.49412815	104.6748041	0.87006	
70	6.9	50.49412815	104.6748041	0.86904	
71	7	50.49412815	104.5934983	0.87159	
72	7.1	50.49412815	104.3956489	0.87312	
73	7.2	50.4419448	104.6924306	0.87312	
74	7.3	50.4419448	104.8903105	0.8721	
75	7.4	50.4419448	104.8903105	0.87159	
76	7.5	50.4419448	104.8903105	0.87312	
77	7.6	50.34288517	104.8903105	0.87312	
78	7.7	50.5409989	104.8903105	0.87414	
79	7.8	50.34288517	104.9892581	0.87363	
80	7.9	50.5409989	104.9892581	0.87261	
81	8	50.4419448	104.9892581	0.87261	
82	8.1	50.4419448	105.2684999	0.87465	
83	8.2	50.4419448	105.0705807	0.87516	
84	8.3	50.4419448	104.8726821	0.87516	
85	8.4	50.5409989	105.3674673	0.87414	
86	8.5	50.4419448	104.8726821	0.87414	
87	8.6	50.34288517	104.8726821	0.87567	
88	8.7	50.4419448	104.5758727	0.87414	
89	8.8	50.4419448	105.1695377	0.87414	
90	8.9	50.4419448	104.7737405	0.87516	
91	9	50.5409989	104.7737405	0.87516	
92	9.1	50.4419448	104.7737405	0.87567	
93	9.2	50.34288517	104.4769463	0.87567	
94	9.3	50.34288517	104.7737405	0.87516	
95	9.4	50.49412815	104.7737405	0.87465	
96	9.5	50.49412815	104.7737405	0.87516	
97	9.6	50.59317935	104.6748041	0.87567	
98	9.7	50.59317935	104.6748041	0.87618	
99	9.8	50.49412815	104.5758727	0.87516	
100	9.9	50.59317935	104.6748041	0.87516	
101	10	50.49412815	104.5758727	0.87414	
102	10.1	50.49412815	104.5758727	0.87465	
103	10.2	50.59317935	104.2967317	0.87414	
104	10.3	50.49412815	104.2967317	0.87567	
105	10.4	50.49412815	104.3956489	0.87567	
106	10.5	50.4419448	104.2967317	0.87618	
107	10.6	50.4419448	104.3956489	0.87822	
108	10.7	50.5409989	104.3956489	0.87924	
109	10.8	50.5409989	104.2967317	0.87924	
110	10.9	50.4419448	104.2967317	0.87924	
111	11	50.4419448	104.1978195	0.87873	
112	11.1	50.4419448	104.1978195	0.87669	
113	11.2	50.4419448	104.1978195	0.87771	
114	11.3	50.5409989	104.378025	0.87822	
115	11.4	50.5409989	104.4769463	0.87771	
116	11.5	50.5409989	104.4769463	0.87822	
117	11.6	50.5409989	104.4769463	0.87822	
118	11.7	50.5409989	104.378025	0.87873	
119	11.8	50.4419448	104.5758727	0.87924	
120	11.9	50.5409989	104.6748041	0.87975	
121	12	50.4419448	104.6748041	0.87822	
122	12.1	50.4419448	104.7737405	0.87822	
123	12.2	50.4419448	104.4769463	0.87873	
124	12.3	50.4419448	104.4769463	0.87873	
125	12.4	50.5409989	104.378025	0.88026	
126	12.5	50.5409989	104.4769463	0.88077	
127	12.6	50.5409989	104.5758727	0.87873	
128	12.7	50.4419448	104.5758727	0.87822	
129	12.8	50.5409989	104.6748041	0.87822	
130	12.9	50.4419448	104.6748041	0.87924	
131	13	50.5409989	104.7737405	0.8772	
132	13.1	50.4419448	104.6748041	0.87771	
133	13.2	50.34288517	104.6748041	0.87669	
134	13.3	50.5409989	104.6748041	0.87771	
135	13.4	50.4419448	104.6748041	0.88128	
136	13.5	50.4419448	104.2791088	0.8823	
137	13.6	50.4419448	104.6748041	0.88128	
138	13.7	50.5409989	104.4769463	0.88128	
139	13.8	50.4419448	104.4769463	0.88026	
140	13.9	50.4419448	104.2791088	0.88077	
141	14	50.4419448	104.6748041	0.88077	
142	14.1	50.5409989	104.4769463	0.88077	
143	14.2	50.5409989	104.4769463	0.87771	
144	14.3	50.5409989	104.7737405	0.87873	
145	14.4	50.4419448	104.5758727	0.87873	
146	14.5	50.5409989	104.5758727	0.87924	
147	14.6	50.4419448	104.5758727	0.87873	
148	14.7	50.4419448	104.5758727	0.88026	
149	14.8	50.5409989	104.6748041	0.87975	
150	14.9	50.5409989	104.8726821	0.87771	
151	15	50.4419448	104.8726821	0.87822	
152	15.1	50.64004749	104.8726821	0.87669	
153	15.2	50.5409989	104.8726821	0.87669	
154	15.3	50.64004749	104.8726821	0.87873	
155	15.4	50.5409989	105.1695377	0.87975	
156	15.5	50.4419448	105.1695377	0.88077	
157	15.6	50.4419448	105.0705807	0.88026	
158	15.7	50.5409989	104.9716288	0.87924	
159	15.8	50.5409989	105.1695377	0.87822	
160	15.9	50.69222504	105.1695377	0.87873	
161	16	50.59317935	105.0705807	0.87873	
162	16.1	50.59317935	105.0705807	0.88026	
163	16.2	50.59317935	104.9716288	0.87924	
164	16.3	50.39507144	105.0705807	0.87975	
165	16.4	50.59317935	105.1695377	0.88077	
166	16.5	50.49412815	105.1695377	0.88128	
167	16.6	50.59317935	105.1695377	0.88077	
168	16.7	50.49412815	105.1695377	0.88026	
169	16.8	50.59317935	105.2684999	0.87975	
170	16.9	50.59317935	105.1695377	0.88077	
171	17	50.4419448	105.1695377	0.88026	
172	17.1	50.5409989	105.1695377	0.88077	
173	17.2	50.5409989	105.2684999	0.88128	
174	17.3	50.5409989	105.0705807	0.8823	
175	17.4	50.64004749	104.8726821	0.88434	
176	17.5	50.5409989	104.8726821	0.88536	
177	17.6	50.5409989	104.8726821	0.88587	
178	17.7	50.5409989	104.8726821	0.88536	
179	17.8	50.5409989	104.8726821	0.88638	
180	17.9	50.5409989	104.7737405	0.88536	
181	18	50.59317935	104.8726821	0.88638	
182	18.1	50.59317935	104.7737405	0.88536	
183	18.2	50.59317935	104.7737405	0.88536	
184	18.3	50.59317935	104.7737405	0.88587	
185	18.4	50.59317935	104.6748041	0.88536	
186	18.5	50.39507144	104.5758727	0.88485	
187	18.6	50.59317935	104.5758727	0.88587	
188	18.7	50.59317935	104.5758727	0.88536	
189	18.8	50.59317935	104.5758727	0.88689	
190	18.9	50.59317935	104.5758727	0.88638	
191	19	50.59317935	104.4769463	0.88638	
192	19.1	50.5409989	104.378025	0.88791	
193	19.2	50.4419448	104.5758727	0.88842	
194	19.3	50.4419448	104.5758727	0.88842	
195	19.4	50.5409989	104.5758727	0.88893	
196	19.5	50.5409989	104.5758727	0.88944	
197	19.6	50.4419448	104.6748041	0.88944	
198	19.7	50.5409989	104.6748041	0.88995	
199	19.8	50.64004749	104.6748041	0.88842	
200	19.9	50.5409989	104.6748041	0.88893	
201	20	50.5409989	104.7737405	0.88995	
202	20.1	50.5409989	104.8726821	0.88842	
203	20.2	50.5409989	104.7737405	0.88842	
204	20.3	50.5409989	104.8726821	0.88791	
205	20.4	50.5409989	104.8726821	0.88791	
206	20.5	50.5409989	104.8726821	0.88791	
207	20.6	50.64004749	104.6748041	0.88791	
208	20.7	50.4419448	104.8726821	0.88689	
209	20.8	50.5409989	104.8726821	0.88791	
210	20.9	50.5409989	104.8726821	0.88689	
211	21	50.64004749	104.6748041	0.8874	
212	21.1	50.5409989	104.6748041	0.88842	
213	21.2	50.5409989	104.5758727	0.88893	
