Zerfaelle_in_0.2_sec Anzahl_der_Messungen
0 8
1 26
2 96
3 238
4 553
5 1021
6 1441
7 1775
8 1946
9 1822
10 1552
11 1148
12 796
13 532
14 265
15 150
16 74
17 38
18 12
19 5
20 0
21 1
