H	M
1.31243299E-1	9.71263284E-1
9.01154375E-3	7.63535408E-1
-1.08572748E-1	5.41973351E-1
-2.27378542E-1	2.80924592E-1
-3.52995985E-1	-7.05590901E-3
-4.84891655E-1	-2.85846946E-1
-6.16809810E-1	-5.76467489E-1
-7.56104415E-1	-8.54127195E-1
-8.91621803E-1	-1.10752146E+0
-1.03599555E+0	-1.33857025E+0
-1.17862035E+0	-1.54765351E+0
-1.31431099E+0	-1.72025775E+0
-1.45146758E+0	-1.87071009E+0
-1.57536310E+0	-1.98278249E+0
-1.67053178E+0	-2.06751198E+0
-1.73058246E+0	-2.11730459E+0
-1.74975580E+0	-2.13751662E+0
-1.72536663E+0	-2.13094074E+0
-1.65235670E+0	-2.09933743E+0
-1.53994230E+0	-2.04868098E+0
-1.39870569E+0	-1.97747755E+0
-1.22532922E+0	-1.89346982E+0
-1.03904005E+0	-1.78262478E+0
-8.57165282E-1	-1.65877364E+0
-6.81565474E-1	-1.52144805E+0
-5.05791041E-1	-1.35231015E+0
-3.30969897E-1	-1.15907409E+0
-1.65400421E-1	-9.47189254E-1
-3.10982226E-3	-6.82330019E-1
1.45131857E-1	-4.00991963E-1
2.84977543E-1	-9.67511944E-2
4.30941637E-1	2.35945930E-1
5.81860867E-1	5.81712444E-1
7.50155429E-1	9.13341934E-1
9.25862813E-1	1.25130577E+0
1.10852099E+0	1.54057256E+0
1.29213303E+0	1.79677697E+0
1.47219518E+0	2.00481010E+0
1.63730643E+0	2.15706245E+0
1.75959163E+0	2.26215445E+0
1.80500754E+0	2.30126113E+0
1.77686603E+0	2.29334656E+0
1.67965032E+0	2.24973411E+0
1.53484864E+0	2.18244224E+0
1.36611340E+0	2.10015308E+0
1.16767005E+0	1.99021005E+0
9.75263235E-1	1.86761903E+0
7.98081443E-1	1.73120264E+0
6.06863232E-1	1.57225167E+0
4.45340136E-1	1.39746912E+0
2.87935554E-1	1.21284960E+0
1.53108790E-1	1.01612219E+0
2.77921246E-2	7.96531038E-1
