H	M
-6.99871348E+0	-1.59328363E+0
-5.14951605E+0	-1.23385204E+0
-3.12627366E+0	-7.70855128E-1
-1.02437281E+0	-2.64108341E-1
1.19221006E+0	2.57688464E-1
3.21372848E+0	7.25420428E-1
4.87084627E+0	1.14176459E+0
6.60408389E+0	1.54311629E+0
7.99372892E+0	1.83495186E+0
9.06495121E+0	2.06363462E+0
9.76244987E+0	2.20251472E+0
1.01225583E+1	2.27322644E+0
1.02664521E+1	2.30271297E+0
1.02432309E+1	2.29973380E+0
9.80954361E+0	2.22911330E+0
8.98129720E+0	2.09311581E+0
8.00760191E+0	1.91170773E+0
6.85016830E+0	1.68408925E+0
5.63196228E+0	1.42591826E+0
4.20742708E+0	1.12444430E+0
2.92065497E+0	8.18760226E-1
1.50393237E+0	4.95303467E-1
1.34042117E-1	1.67684039E-1
-1.17653341E+0	-1.44963261E-1
-2.47848142E+0	-4.57071610E-1
-3.71133318E+0	-7.39399503E-1
-4.79440208E+0	-9.97086597E-1
-6.00355292E+0	-1.27869389E+0
-7.11635190E+0	-1.53034979E+0
-8.07260584E+0	-1.73162765E+0
-8.80771414E+0	-1.89534059E+0
-9.41346039E+0	-2.02135691E+0
-9.81789680E+0	-2.10239062E+0
-1.00661036E+1	-2.14864321E+0
-1.01955191E+1	-2.17352075E+0
-1.02463802E+1	-2.18473696E+0
-1.01096610E+1	-2.16312406E+0
-9.64427635E+0	-2.08551373E+0
-8.86520523E+0	-1.95058613E+0
-7.86691231E+0	-1.76445958E+0
-6.76600586E+0	-1.55816281E+0
-5.64936456E+0	-1.32215572E+0
-4.36722080E+0	-1.03658887E+0
