H	M
-5.99062832E-1	-1.55791841E-1
-7.47174756E-1	-2.81031511E-1
-8.97189080E-1	-4.06718361E-1
-1.05904791E+0	-5.31405728E-1
-1.22370452E+0	-6.60911739E-1
-1.40023258E+0	-8.05970663E-1
-1.57326858E+0	-9.47005280E-1
-1.77397031E+0	-1.10395096E+0
-2.00002881E+0	-1.26676315E+0
-2.21978167E+0	-1.42661121E+0
-2.44879404E+0	-1.57595763E+0
-2.67537177E+0	-1.72405568E+0
-2.88563031E+0	-1.85198648E+0
-3.06159758E+0	-1.95356790E+0
-3.20130166E+0	-2.02967106E+0
-3.31572113E+0	-2.09273556E+0
-3.40246903E+0	-2.13607649E+0
-3.45856847E+0	-2.16303105E+0
-3.44643417E+0	-2.16296458E+0
-3.33868325E+0	-2.13042859E+0
-3.14846855E+0	-2.06358853E+0
-2.89369432E+0	-1.96924531E+0
-2.61555951E+0	-1.86464475E+0
-2.34465621E+0	-1.74805199E+0
-2.05746181E+0	-1.61179033E+0
-1.73784165E+0	-1.45237378E+0
-1.41029862E+0	-1.26149230E+0
-1.04135491E+0	-1.02284245E+0
-6.40865712E-1	-7.37326271E-1
-2.47446619E-1	-4.20262314E-1
1.68748215E-1	-8.21524619E-2
5.57724174E-1	2.43324126E-1
9.48927234E-1	5.53872285E-1
1.34358767E+0	8.89086279E-1
1.78023517E+0	1.22419822E+0
2.17199524E+0	1.50504011E+0
2.51749306E+0	1.75818104E+0
2.85234731E+0	1.96235559E+0
3.09766263E+0	2.09686975E+0
3.27764623E+0	2.19728619E+0
3.40687596E+0	2.26418213E+0
3.49372376E+0	2.30703012E+0
3.50727450E+0	2.31742352E+0
3.41252467E+0	2.28872885E+0
3.22884316E+0	2.22629951E+0
2.97856518E+0	2.13881920E+0
2.69661294E+0	2.03066496E+0
2.41887705E+0	1.91133082E+0
2.11999680E+0	1.77399362E+0
1.81997107E+0	1.61487574E+0
1.52366373E+0	1.44013574E+0
1.19589044E+0	1.23735707E+0
8.62299692E-1	9.99488063E-1
5.13067055E-1	7.55172532E-1
1.84828644E-1	4.91757021E-1
-1.36701992E-1	2.25385137E-1
-4.45623476E-1	-3.29765821E-2
-7.33797585E-1	-2.73035786E-1
-1.04614258E+0	-5.33497112E-1
