H	M
-1.46585726E+0	-3.30177250E-1
1.49236659E-1	1.50657015E-3
1.60272846E+0	3.54487042E-1
2.99533652E+0	6.95991847E-1
4.20760039E+0	1.00637724E+0
5.33513220E+0	1.26958083E+0
6.54500885E+0	1.54974783E+0
7.65196191E+0	1.77124746E+0
8.50724202E+0	1.94092611E+0
9.17318459E+0	2.09303992E+0
9.66069682E+0	2.18376717E+0
9.96026523E+0	2.24373761E+0
1.01334275E+1	2.27905993E+0
1.02372288E+1	2.29927067E+0
1.02853271E+1	2.31160090E+0
1.02390802E+1	2.30304787E+0
9.97117422E+0	2.28272788E+0
9.48624315E+0	2.20218452E+0
8.87783078E+0	2.09765362E+0
8.12146046E+0	1.95649622E+0
7.24426001E+0	1.77142598E+0
6.28641379E+0	1.57970861E+0
5.21446139E+0	1.35002814E+0
3.98984985E+0	1.08572898E+0
2.89190830E+0	8.31818937E-1
1.81333053E+0	5.74405539E-1
6.24250708E-1	2.93331468E-1
-5.93366959E-1	-1.88236511E-5
-1.82027554E+0	-2.95377887E-1
-3.08867881E+0	-5.93485573E-1
-4.20240877E+0	-8.63178272E-1
-5.32377798E+0	-1.11640301E+0
-6.47276291E+0	-1.38050581E+0
-7.48471733E+0	-1.60620651E+0
-8.29658438E+0	-1.77866626E+0
-8.88866974E+0	-1.90308292E+0
-9.30595513E+0	-1.98337633E+0
-9.54783742E+0	-2.03649936E+0
-9.67781678E+0	-2.05871692E+0
-9.73363622E+0	-2.06967269E+0
-9.75545355E+0	-2.07390274E+0
-9.70683696E+0	-2.05046379E+0
-9.59876877E+0	-2.02398977E+0
-9.47550516E+0	-1.99688559E+0
-9.30823636E+0	-1.96157630E+0
-9.16365304E+0	-1.93554604E+0
-9.06008632E+0	-1.91571408E+0
-9.15991788E+0	-1.94438019E+0
-9.34701836E+0	-1.97688145E+0
-9.54828142E+0	-2.01452320E+0
-9.75012558E+0	-2.06155019E+0
-9.91259979E+0	-2.10947535E+0
-1.00362937E+1	-2.13195361E+0
-1.01158327E+1	-2.14843660E+0
-1.01664687E+1	-2.15553691E+0
-1.02033202E+1	-2.14936968E+0
-1.02161032E+1	-2.15741934E+0
-1.02006304E+1	-2.15109543E+0
-1.01419210E+1	-2.14022938E+0
-1.00371511E+1	-2.12479272E+0
-9.88393481E+0	-2.10201620E+0
-9.70728068E+0	-2.07294333E+0
-9.48430047E+0	-2.03639488E+0
-9.25717599E+0	-1.99733121E+0
-8.99823950E+0	-1.95239017E+0
-8.72479357E+0	-1.90700131E+0
-8.43518556E+0	-1.85579820E+0
-8.12431545E+0	-1.79715528E+0
-7.84848479E+0	-1.74514911E+0
-7.48341986E+0	-1.67569958E+0
-7.10424476E+0	-1.61045215E+0
-6.65781556E+0	-1.52107707E+0
-6.22587199E+0	-1.43398557E+0
-5.71870804E+0	-1.32817763E+0
-5.11591064E+0	-1.19635591E+0
-4.40085128E+0	-1.03525156E+0
-3.57134445E+0	-8.43368924E-1
-2.65601206E+0	-6.42520383E-1
-1.67314477E+0	-4.19525566E-1
-6.72281778E-1	-1.81723852E-1
2.65604548E-1	5.20510929E-2
