T	M
2.47371345E+1	5.37126627E+0
2.47606059E+1	5.36915821E+0
2.47820831E+1	5.37121161E+0
2.48043831E+1	5.37062444E+0
2.48228340E+1	5.36798192E+0
2.48530138E+1	5.36630184E+0
2.48811713E+1	5.36557393E+0
2.48975861E+1	5.36498786E+0
2.49202209E+1	5.36186925E+0
2.49508329E+1	5.36190135E+0
2.49723939E+1	5.35942243E+0
2.49981805E+1	5.35723886E+0
2.50263642E+1	5.35680527E+0
2.50473533E+1	5.35497776E+0
2.50772261E+1	5.35382101E+0
2.51026083E+1	5.35297123E+0
2.51216584E+1	5.35051302E+0
2.51441257E+1	5.34808963E+0
2.51694231E+1	5.34726877E+0
2.51989194E+1	5.34805226E+0
2.52291689E+1	5.34552703E+0
2.52493769E+1	5.34343829E+0
2.52803378E+1	5.34172179E+0
2.53017035E+1	5.33984915E+0
2.53356623E+1	5.33946139E+0
2.53486044E+1	5.33798413E+0
2.53733875E+1	5.33322738E+0
2.53997738E+1	5.33125144E+0
2.54221425E+1	5.32895550E+0
2.54433826E+1	5.32776855E+0
2.54720288E+1	5.32396592E+0
2.54953469E+1	5.32396398E+0
2.55169379E+1	5.32214728E+0
2.55488469E+1	5.32036280E+0
2.55767539E+1	5.32229662E+0
2.56076728E+1	5.32031519E+0
2.56282858E+1	5.31762902E+0
2.56588699E+1	5.31600597E+0
2.56798173E+1	5.31519461E+0
2.57093415E+1	5.31217084E+0
2.57252824E+1	5.30464523E+0
2.57551552E+1	5.30364717E+0
2.57663425E+1	5.30118342E+0
2.57819065E+1	5.29895143E+0
2.58107022E+1	5.29877444E+0
2.58393604E+1	5.29726531E+0
2.58662209E+1	5.29548027E+0
2.58928863E+1	5.29360632E+0
2.59167760E+1	5.29664917E+0
2.59535095E+1	5.26470024E+0
2.59746938E+1	5.26022266E+0
2.59942167E+1	5.25843726E+0
2.60125281E+1	5.25866478E+0
2.60492070E+1	5.25492339E+0
2.60751888E+1	5.25421287E+0
2.61100267E+1	5.24996682E+0
2.61305555E+1	5.24706661E+0
2.61643460E+1	5.24576670E+0
2.61889750E+1	5.24377258E+0
2.62171898E+1	5.24546583E+0
2.62401313E+1	5.24323221E+0
2.62663508E+1	5.24443931E+0
2.63053445E+1	5.24295034E+0
2.63213009E+1	5.24105557E+0
2.63578260E+1	5.23908567E+0
2.63789008E+1	5.23829479E+0
2.64013264E+1	5.23705286E+0
2.64383098E+1	5.23634124E+0
2.64589920E+1	5.23449617E+0
2.64933413E+1	5.23276274E+0
2.65197276E+1	5.23217179E+0
2.65397960E+1	5.23097158E+0
2.65699199E+1	5.22852797E+0
2.65986605E+1	5.22746456E+0
2.66309739E+1	5.22623861E+0
2.66566467E+1	5.22373466E+0
2.66785004E+1	5.22312284E+0
2.67084584E+1	5.22095585E+0
2.67260027E+1	5.22033481E+0
2.67578696E+1	5.21901088E+0
2.67811738E+1	5.21813879E+0
2.68115917E+1	5.21626534E+0
2.68381456E+1	5.21486310E+0
2.68578654E+1	5.21369772E+0
2.68781292E+1	5.21153249E+0
2.69115993E+1	5.21122585E+0
2.69389182E+1	5.20875234E+0
2.69639798E+1	5.20863571E+0
2.69821538E+1	5.20637069E+0
2.70202689E+1	5.20459272E+0
2.70460136E+1	5.20276482E+0
2.70528054E+1	5.20277045E+0
2.70872523E+1	5.20151991E+0
2.71094129E+1	5.19906542E+0
2.71319797E+1	5.19780388E+0
2.71517833E+1	5.19694650E+0
2.71780709E+1	5.19477052E+0
2.71962149E+1	5.19439048E+0
2.72179966E+1	5.19253904E+0
