H	M
-2.51545999E+0	-6.85622828E-1
-2.78170406E+0	-7.76675060E-1
-3.09288918E+0	-8.78367501E-1
-3.37387152E+0	-9.75901412E-1
-3.75848928E+0	-1.10782806E+0
-4.17348513E+0	-1.24059613E+0
-4.61402884E+0	-1.38596763E+0
-5.05843663E+0	-1.52836733E+0
-5.52331023E+0	-1.66743671E+0
-5.93885637E+0	-1.78650688E+0
-6.30147568E+0	-1.89664405E+0
-6.58567723E+0	-1.97904295E+0
-6.82019402E+0	-2.04476566E+0
-7.00408736E+0	-2.09437635E+0
-7.13277223E+0	-2.13028493E+0
-7.21505321E+0	-2.15191607E+0
-7.25695380E+0	-2.16581009E+0
-7.23762740E+0	-2.16417261E+0
-7.09053326E+0	-2.13368263E+0
-6.77045491E+0	-2.06800789E+0
-6.31814035E+0	-1.96575704E+0
-5.73844249E+0	-1.83138439E+0
-5.07159353E+0	-1.66544066E+0
-4.40377749E+0	-1.48226996E+0
-3.63736430E+0	-1.26603846E+0
-2.85024288E+0	-1.01978823E+0
-2.01620255E+0	-7.45272822E-1
-1.09291394E+0	-4.34344534E-1
-1.50249312E-1	-1.07615304E-1
8.07564159E-1	2.24236451E-1
1.76999623E+0	5.63948092E-1
2.62635609E+0	8.58452599E-1
3.49862923E+0	1.14389279E+0
4.41214580E+0	1.44432314E+0
5.22224382E+0	1.70082712E+0
5.90379178E+0	1.91084984E+0
6.45945777E+0	2.07332446E+0
6.82988469E+0	2.17715813E+0
7.05733701E+0	2.23384568E+0
7.19689703E+0	2.27377531E+0
7.27540379E+0	2.29612530E+0
7.29782036E+0	2.30267302E+0
7.19839147E+0	2.28195507E+0
6.98565099E+0	2.23714916E+0
6.70148895E+0	2.17696439E+0
6.36831780E+0	2.10154748E+0
6.00927591E+0	2.01780400E+0
5.64190007E+0	1.92983893E+0
5.24679325E+0	1.83393350E+0
4.89681729E+0	1.74196051E+0
4.58150277E+0	1.65510176E+0
4.27325812E+0	1.56931453E+0
4.00002212E+0	1.49078842E+0
3.71170123E+0	1.39949579E+0
3.43131863E+0	1.31777703E+0
3.18740976E+0	1.24117899E+0
2.91737222E+0	1.15646660E+0
2.66952545E+0	1.08149579E+0
2.36674845E+0	9.81297568E-1
2.07069240E+0	8.87367058E-1
1.71612997E+0	7.67101321E-1
1.29447260E+0	6.22182615E-1
7.85663501E-1	4.45904470E-1
2.44599825E-1	2.58830845E-1
-2.68675125E-1	7.89438754E-2
-7.66920537E-1	-8.44715882E-2
-1.35097570E+0	-2.80186782E-1
-1.93726919E+0	-4.84358526E-1
-2.45219214E+0	-6.61294667E-1
-2.95994303E+0	-8.35649882E-1
-3.53970173E+0	-1.03278198E+0
