H	M
-1.79176874E+0	-8.34929980E-1
-2.10006804E+0	-1.01251863E+0
-2.43059258E+0	-1.20533276E+0
-2.74045534E+0	-1.38607921E+0
-3.05274546E+0	-1.54812938E+0
-3.36433370E+0	-1.70468503E+0
-3.63706769E+0	-1.83630290E+0
-3.85916764E+0	-1.94140435E+0
-4.03814920E+0	-2.02204341E+0
-4.18719741E+0	-2.08483625E+0
-4.29432776E+0	-2.13159790E+0
-4.37082596E+0	-2.16306408E+0
-4.38238072E+0	-2.17072649E+0
-4.28737477E+0	-2.14099872E+0
-4.08279178E+0	-2.08311850E+0
-3.81364749E+0	-1.99936302E+0
-3.47678182E+0	-1.89276360E+0
-3.11271547E+0	-1.76199022E+0
-2.73599414E+0	-1.61255704E+0
-2.34261317E+0	-1.43394701E+0
-1.95299369E+0	-1.25775645E+0
-1.58179761E+0	-1.06825657E+0
-1.18989123E+0	-8.63842323E-1
-8.13622880E-1	-6.46991942E-1
-4.38329710E-1	-4.23155441E-1
-7.15577784E-2	-2.00677100E-1
2.76914981E-1	1.48128317E-2
6.13739276E-1	2.23636621E-1
9.33071944E-1	4.21405828E-1
1.22122319E+0	5.98477247E-1
1.51117132E+0	7.68995668E-1
1.81371777E+0	9.49448938E-1
2.10911808E+0	1.12325468E+0
2.38733102E+0	1.28413523E+0
2.64690746E+0	1.43042162E+0
2.87143355E+0	1.56455764E+0
3.08589459E+0	1.67256147E+0
3.28035000E+0	1.77189291E+0
3.47316524E+0	1.87055452E+0
3.64556814E+0	1.95751065E+0
3.81586662E+0	2.03705347E+0
3.96072320E+0	2.10684823E+0
4.07648000E+0	2.15444797E+0
4.16360874E+0	2.19338987E+0
4.23795104E+0	2.22542237E+0
4.29325706E+0	2.24818286E+0
4.34694478E+0	2.27164951E+0
4.38670498E+0	2.28895844E+0
4.41520798E+0	2.29965624E+0
4.43139102E+0	2.30871951E+0
4.43194322E+0	2.31088827E+0
4.41282988E+0	2.30717733E+0
4.37511717E+0	2.29874836E+0
4.30605329E+0	2.27979465E+0
4.22696584E+0	2.25594992E+0
4.12762116E+0	2.22544037E+0
4.01278742E+0	2.18988732E+0
3.87380058E+0	2.14584991E+0
3.73157362E+0	2.09958360E+0
3.58073612E+0	2.05034052E+0
3.43061308E+0	1.99985288E+0
3.26777919E+0	1.94160455E+0
3.10469727E+0	1.87976242E+0
2.93260166E+0	1.81585977E+0
2.74457710E+0	1.73994427E+0
2.53550104E+0	1.64668113E+0
2.32175896E+0	1.55615387E+0
2.12053440E+0	1.46131696E+0
1.89961982E+0	1.35328603E+0
1.66290239E+0	1.22885461E+0
1.41685540E+0	1.10229026E+0
1.10898286E+0	9.35222081E-1
7.83849167E-1	7.46672309E-1
4.72120308E-1	5.57931750E-1
1.70090360E-1	3.71336669E-1
-1.49270045E-1	1.79866880E-1
-4.73929033E-1	-2.29679341E-2
-7.97126189E-1	-2.33058710E-1
-1.11763874E+0	-4.22744167E-1
-1.43967594E+0	-6.16040847E-1
-1.82532325E+0	-8.49630731E-1
-2.24002387E+0	-1.08298320E+0
