H	M
-2.67583655E-1	-2.62395098E+0
-2.67563687E-1	-2.62519155E+0
-2.64322428E-1	-2.60804509E+0
-2.55841190E-1	-2.55459260E+0
-2.51988047E-1	-2.53201733E+0
-2.48024647E-1	-2.50604607E+0
-2.40613948E-1	-2.45866452E+0
-2.36817508E-1	-2.43281160E+0
-2.33802545E-1	-2.41204502E+0
-2.31481688E-1	-2.39701565E+0
-2.25644127E-1	-2.35365757E+0
-2.19915051E-1	-2.31571396E+0
-2.17402097E-1	-2.29855333E+0
-2.14541336E-1	-2.27719279E+0
-2.10086380E-1	-2.24326346E+0
-2.05022916E-1	-2.20521218E+0
-2.01338966E-1	-2.17478975E+0
-1.97623375E-1	-2.14484597E+0
-1.94038011E-1	-2.11402390E+0
-1.90618864E-1	-2.08253830E+0
-1.85698844E-1	-2.03953573E+0
-1.81362271E-1	-2.00631860E+0
-1.77820850E-1	-1.97510160E+0
-1.73634301E-1	-1.93757541E+0
-1.70519265E-1	-1.90754958E+0
-1.67170553E-1	-1.87497088E+0
-1.62783800E-1	-1.82992666E+0
-1.58544154E-1	-1.78946066E+0
-1.54965999E-1	-1.75174014E+0
-1.52841856E-1	-1.73227546E+0
-1.49517506E-1	-1.69956372E+0
-1.45876298E-1	-1.66083138E+0
-1.42784206E-1	-1.62812863E+0
-1.38541413E-1	-1.58354924E+0
-1.34782509E-1	-1.54241580E+0
-1.31499769E-1	-1.50427843E+0
-1.27768100E-1	-1.46206765E+0
-1.24859676E-1	-1.43262586E+0
-1.21734112E-1	-1.39353528E+0
-1.19165161E-1	-1.36186770E+0
-1.16211421E-1	-1.32700954E+0
-1.13821674E-1	-1.30309359E+0
-1.11598946E-1	-1.27516938E+0
-1.09560114E-1	-1.25344770E+0
-1.06143771E-1	-1.21023845E+0
-1.01928965E-1	-1.16411471E+0
-9.93998938E-2	-1.13108386E+0
-9.58909724E-2	-1.08448107E+0
-8.98533227E-2	-1.01083236E+0
-8.59806695E-2	-9.62020626E-1
-8.13757465E-2	-9.05633040E-1
-7.63945039E-2	-8.46126375E-1
-7.28758495E-2	-8.04702674E-1
-6.94169936E-2	-7.62738894E-1
-6.59611131E-2	-7.20740901E-1
-5.97410545E-2	-6.50299799E-1
-5.57041346E-2	-6.07731513E-1
-4.98272662E-2	-5.43472833E-1
-4.60459322E-2	-4.99446227E-1
-4.25510831E-2	-4.60851833E-1
-3.93328837E-2	-4.25551120E-1
-3.38926426E-2	-3.71032845E-1
-2.85672371E-2	-3.20563916E-1
-2.49509186E-2	-2.87412129E-1
-2.40177582E-2	-2.78162174E-1
-1.54947520E-2	-2.04379614E-1
-9.47701452E-3	-1.56128029E-1
-5.38069835E-3	-1.25166796E-1
-1.64450921E-3	-9.57814380E-2
3.25055748E-3	-6.14067366E-2
7.00865355E-3	-3.60947442E-2
1.10213672E-2	-1.11259138E-2
1.60507770E-2	1.84133834E-2
1.84255281E-2	3.29397773E-2
2.84991097E-2	8.72491194E-2
2.68118257E-2	7.39253864E-2
3.19991555E-2	8.03885552E-2
