H	M
1.72417795E+0	1.52072086E+0
1.88571205E+0	1.66523681E+0
2.03787171E+0	1.79546707E+0
2.17800357E+0	1.90655658E+0
2.30899673E+0	2.00583009E+0
2.43109458E+0	2.08860609E+0
2.52920669E+0	2.15795672E+0
2.60994319E+0	2.20673814E+0
2.67563347E+0	2.24859432E+0
2.72429122E+0	2.27805968E+0
2.75605167E+0	2.29624106E+0
2.77648455E+0	2.30945017E+0
2.77865043E+0	2.31329045E+0
2.75959630E+0	2.30377291E+0
2.71663013E+0	2.28753636E+0
2.65588616E+0	2.26543900E+0
2.58329199E+0	2.23774171E+0
2.50479632E+0	2.20653987E+0
2.42443390E+0	2.17505291E+0
2.33745859E+0	2.13827671E+0
2.24612946E+0	2.09953653E+0
2.13201653E+0	2.05053911E+0
2.02159700E+0	1.99911142E+0
1.89494779E+0	1.93859733E+0
1.74804016E+0	1.86475863E+0
1.60553535E+0	1.78468074E+0
1.46707530E+0	1.70404857E+0
1.34261709E+0	1.62423513E+0
1.22446364E+0	1.54260877E+0
1.09122931E+0	1.45207281E+0
9.67336758E-1	1.35582323E+0
8.26601994E-1	1.24351349E+0
6.83952359E-1	1.12008195E+0
5.43162987E-1	9.83904328E-1
4.02682606E-1	8.53136341E-1
2.67039370E-1	7.13920334E-1
1.24275348E-1	5.63368169E-1
-2.13712343E-2	3.92126794E-1
-1.78325622E-1	2.27741032E-1
-3.20346430E-1	6.55093238E-2
-4.67542325E-1	-9.69330661E-2
-6.28246358E-1	-2.81303870E-1
-7.80724335E-1	-4.46129437E-1
-9.38985898E-1	-6.20072319E-1
-1.11171215E+0	-8.09362786E-1
-1.29664131E+0	-9.94976191E-1
-1.48306120E+0	-1.19453837E+0
-1.67058451E+0	-1.37067359E+0
-1.85248399E+0	-1.53198426E+0
-2.02628025E+0	-1.67610089E+0
-2.19121192E+0	-1.78975206E+0
-2.33386463E+0	-1.89222163E+0
-2.45283749E+0	-1.97646849E+0
-2.56546334E+0	-2.04549445E+0
-2.65275018E+0	-2.10303291E+0
-2.70985504E+0	-2.13672066E+0
-2.72816150E+0	-2.15043808E+0
-2.70005610E+0	-2.14104556E+0
-2.62821608E+0	-2.11629730E+0
-2.52022655E+0	-2.08122119E+0
-2.38784460E+0	-2.02747125E+0
-2.22662985E+0	-1.96011402E+0
-2.04344569E+0	-1.88152960E+0
-1.84659249E+0	-1.78935078E+0
-1.63564480E+0	-1.67628638E+0
-1.41495126E+0	-1.55170424E+0
-1.21701075E+0	-1.42192153E+0
-1.01787196E+0	-1.27754863E+0
-7.87190982E-1	-1.10144669E+0
-5.61807477E-1	-8.99035786E-1
-3.38829767E-1	-6.88645464E-1
-1.31149022E-1	-4.70689666E-1
7.22736325E-2	-2.58832679E-1
2.56861460E-1	-4.83504541E-2
4.31644865E-1	1.51008394E-1
6.19662432E-1	3.71998391E-1
8.30301187E-1	6.05014454E-1
1.03708171E+0	8.33952641E-1
1.26857377E+0	1.07519835E+0
1.48959163E+0	1.30075576E+0
1.72700264E+0	1.52294131E+0
1.94428540E+0	1.71700554E+0
2.14474164E+0	1.88241830E+0
