H	M
-8.76022387E+0	-5.48660386E+0
-9.11757148E+0	-5.49991281E+0
-9.37706494E+0	-5.50428577E+0
-9.57307783E+0	-5.50830138E+0
-9.71031143E+0	-5.51044883E+0
-9.81629706E+0	-5.51457046E+0
-9.88681800E+0	-5.51619908E+0
-9.93800955E+0	-5.51647741E+0
-9.96589235E+0	-5.51317214E+0
-9.98711500E+0	-5.50934659E+0
-9.99621543E+0	-5.51523231E+0
-9.99941650E+0	-5.51427670E+0
-1.00058061E+1	-5.52040098E+0
-1.00038754E+1	-5.52595295E+0
-9.99126442E+0	-5.52386021E+0
-9.94131829E+0	-5.53482434E+0
-9.86608359E+0	-5.53472858E+0
-9.72508316E+0	-5.53176185E+0
-9.59136741E+0	-5.53258581E+0
-9.38144061E+0	-5.52184343E+0
-9.13775979E+0	-5.51299370E+0
-8.81924183E+0	-5.50301784E+0
-8.45320134E+0	-5.49347560E+0
-7.99866627E+0	-5.47856364E+0
-7.56036308E+0	-5.46729702E+0
-7.06373833E+0	-5.45228104E+0
-6.61040125E+0	-5.43315206E+0
-6.15496166E+0	-5.40973356E+0
-5.64458348E+0	-5.37813155E+0
-5.15513704E+0	-5.35736528E+0
-4.57687165E+0	-5.31217350E+0
-3.87509395E+0	-5.24686559E+0
-3.20715778E+0	-5.17112493E+0
-2.62100510E+0	-5.07546390E+0
-2.06921554E+0	-4.93296727E+0
-1.59252208E+0	-4.76030874E+0
-1.16840845E+0	-4.56558937E+0
-7.55689741E-1	-4.22017213E+0
-4.34406057E-1	-3.78445048E+0
-1.98741246E-1	-3.20314485E+0
-5.72534630E-2	-2.56218265E+0
1.75922667E-2	-1.97879433E+0
6.92829962E-2	-1.34165234E+0
1.05972375E-1	-6.38633039E-1
1.38494425E-1	6.10165260E-2
1.71192252E-1	7.54203834E-1
2.18889087E-1	1.52484646E+0
2.71996327E-1	2.20166060E+0
3.29988904E-1	2.67784747E+0
4.28426448E-1	3.24260057E+0
6.24160302E-1	3.87506488E+0
9.51114099E-1	4.40980523E+0
1.56884957E+0	4.88978518E+0
2.57610007E+0	5.20029526E+0
3.44805076E+0	5.35904263E+0
4.40573281E+0	5.46229363E+0
5.16742273E+0	5.52207024E+0
5.93827364E+0	5.56662200E+0
6.64241408E+0	5.60077366E+0
7.27055054E+0	5.62409541E+0
7.73866864E+0	5.63811358E+0
8.14936194E+0	5.65134269E+0
8.46413334E+0	5.66413599E+0
8.75456307E+0	5.67389893E+0
8.93886342E+0	5.67788369E+0
9.08444606E+0	5.67988868E+0
9.22537771E+0	5.68495258E+0
9.32907987E+0	5.68603880E+0
9.40190179E+0	5.69024549E+0
9.48431208E+0	5.69298407E+0
9.55333263E+0	5.69064790E+0
9.59645981E+0	5.69237505E+0
9.61093508E+0	5.69422765E+0
9.62048555E+0	5.69342871E+0
9.65123257E+0	5.69239526E+0
9.67891165E+0	5.69365419E+0
9.68731798E+0	5.68946248E+0
9.69004510E+0	5.69288885E+0
9.69013550E+0	5.69256398E+0
9.68710358E+0	5.69069281E+0
9.69600537E+0	5.69095924E+0
9.72275407E+0	5.69356964E+0
9.76032843E+0	5.69495971E+0
9.81252408E+0	5.69586971E+0
9.85405892E+0	5.69696601E+0
9.87834530E+0	5.69664222E+0
9.89617023E+0	5.69655714E+0
9.91860827E+0	5.69568796E+0
9.94702808E+0	5.69668786E+0
9.97276932E+0	5.70277671E+0
9.98567038E+0	5.70348815E+0
1.00118326E+1	5.69980847E+0
1.00275045E+1	5.70141044E+0
1.00358324E+1	5.69659011E+0
1.00493949E+1	5.69951189E+0
1.00524747E+1	5.69922125E+0
1.00565016E+1	5.70053275E+0
1.00589107E+1	5.69634459E+0
1.00566304E+1	5.70350625E+0
1.00520726E+1	5.69906777E+0
1.00261078E+1	5.69231406E+0
9.98320897E+0	5.69015902E+0
9.90749180E+0	5.68954892E+0
9.77945684E+0	5.68934574E+0
9.61806938E+0	5.68727165E+0
9.39369238E+0	5.68213353E+0
9.12065852E+0	5.67479924E+0
8.77533508E+0	5.66917329E+0
8.38339578E+0	5.65616642E+0
7.97707712E+0	5.64269746E+0
7.52918433E+0	5.62784549E+0
7.04088925E+0	5.61216583E+0
6.45549502E+0	5.59093021E+0
5.85588907E+0	5.56049760E+0
5.29528832E+0	5.52755776E+0
4.71312220E+0	5.48836416E+0
4.02623828E+0	5.42572281E+0
3.25137735E+0	5.33871357E+0
2.57089540E+0	5.21346922E+0
1.87923066E+0	5.03393206E+0
1.29554495E+0	4.77520741E+0
7.60200142E-1	4.34077566E+0
3.59956287E-1	3.67978980E+0
1.36655062E-1	2.90189005E+0
7.57428345E-3	1.84828793E+0
-7.33185074E-2	4.24547792E-1
-1.56081578E-1	-1.20263159E+0
-4.15404748E-1	-3.13591563E+0
-1.50036156E+0	-4.69244139E+0
-3.28917802E+0	-5.18428749E+0
-4.86982269E+0	-5.33484021E+0
-6.09877760E+0	-5.40911361E+0
-7.00414610E+0	-5.44929111E+0
-7.69247149E+0	-5.47213199E+0
-8.28217212E+0	-5.48991012E+0
-8.73353605E+0	-5.50491202E+0
-9.08349718E+0	-5.51628805E+0
