H	M
1.70085811E+0	2.18527573E+0
2.26891575E+0	2.65269743E+0
2.82646663E+0	2.93272236E+0
3.21086168E+0	3.07674697E+0
3.30164977E+0	3.11445109E+0
3.08186284E+0	3.06601368E+0
2.67821208E+0	2.96262473E+0
2.21346309E+0	2.83010035E+0
1.68878722E+0	2.62964578E+0
1.19582255E+0	2.37930949E+0
7.24485863E-1	2.03192264E+0
3.06303525E-1	1.57119950E+0
-3.25954129E-2	9.34104879E-1
-3.27089732E-1	2.44958835E-1
-6.69776637E-1	-5.15572023E-1
-1.08235498E+0	-1.33090738E+0
-1.60414013E+0	-2.04262583E+0
-2.21420253E+0	-2.53955509E+0
-2.81119632E+0	-2.83104548E+0
-3.18341837E+0	-2.97527267E+0
-3.22335999E+0	-2.99308585E+0
-2.95834183E+0	-2.92369827E+0
-2.50637380E+0	-2.80311960E+0
-1.97312321E+0	-2.63266777E+0
-1.36968629E+0	-2.37943578E+0
-8.68413382E-1	-2.04052010E+0
-3.63709119E-1	-1.59463585E+0
1.39107731E-2	-9.86092739E-1
3.08524384E-1	-2.86178841E-1
6.51310498E-1	5.03597498E-1
1.06219697E+0	1.34532723E+0
1.60228976E+0	2.08469212E+0
2.18884945E+0	2.61518915E+0
2.80492014E+0	2.92848848E+0
3.18912137E+0	3.07836903E+0
3.28962589E+0	3.10952763E+0
